262,M,23,185,67
263,M,29,175,85
264,M,31,NA,NA
265,M,22,165,60
266,M,19,180,76
266,M,19,180,76
266,M,23,180,76
266,M,23,180,76
267,M,25,NA,71
268,F,27,180,67
269,M,23,188,78
270,M,27,NA,NA
271,M,30,165,60
272,F,17,147,50
273,M,24,184,70
274,M,22,180,73
275,M,24,163,61
275,M,28,163,61
276,F,19,160,53
276,F,19,160,53
276,F,27,160,53
277,M,25,NA,NA
278,M,23,172,90
278,M,27,172,90
279,M,19,175,55
280,M,NA,NA,NA
280,M,NA,NA,NA
281,M,30,180,117.5
281,M,34,180,117.5
282,M,22,169,65
283,M,27,NA,NA
284,M,NA,NA,82
285,M,23,169,60
285,M,23,169,60
286,M,20,156,59
287,M,17,176,68
288,M,17,168,54
289,F,14,NA,NA
290,M,26,172,70
291,M,34,178,74
292,M,30,175,80
293,M,NA,175,85
294,M,29,174,55
295,M,24,173,64
296,M,38,169,91
297,M,23,181,72
298,F,22,163,56
298,F,26,163,56
299,M,NA,178,70
299,M,NA,178,70
300,M,NA,177,68
301,M,NA,NA,NA
302,M,NA,160,52
303,M,21,NA,NA
303,M,33,NA,NA
304,M,24,180,72
305,M,39,NA,NA
306,M,23,NA,NA
307,M,21,NA,NA
307,M,21,NA,NA
308,M,30,NA,NA
309,F,32,158,58
310,M,21,185,80
311,M,22,175,75
312,M,21,172,66
312,M,21,172,66
312,M,25,172,66
312,M,25,172,66
313,F,22,180,59
314,F,26,166,61
315,M,26,160,62
316,M,24,181,73
316,M,24,181,73
316,M,24,181,73
316,M,24,181,73
316,M,24,181,73
317,M,20,NA,NA
318,M,28,NA,NA
319,M,18,NA,NA
320,M,27,164,55
321,M,20,184,79
322,M,31,187,83
323,M,32,NA,88
324,M,25,NA,NA
325,M,NA,176,66
325,M,NA,176,66
325,M,NA,176,66
325,M,NA,176,66
325,M,NA,176,66
325,M,NA,176,66
326,M,NA,165,65
325,M,NA,180,76
327,M,21,NA,NA
328,M,23,NA,NA
329,M,21,188,77
329,M,21,188,77
329,M,21,188,77
329,M,25,188,77
330,F,21,NA,NA
330,F,25,NA,NA
331,M,NA,190,75
331,M,NA,190,75
332,M,28,NA,NA
333,M,28,188,91
334,M,27,164,60
334,M,32,164,60
335,M,22,169,63
335,M,26,169,63
336,M,22,190,130
336,M,26,190,130
